FIPS,State,County_Name,County,Population_2010,UIC_2013,Description,City/Suburb/Town/Rural
27133,MN,Rock County,Rock ,"9,687",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
27153,MN,Todd County,Todd ,"24,895",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
27165,MN,Watonwan County,Watonwan ,"11,211",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
28007,MS,Attala County,Attala ,"19,564",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
28031,MS,Covington County,Covington ,"19,568",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
28039,MS,George County,George ,"22,578",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
28051,MS,Holmes County,Holmes ,"19,198",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
28079,MS,Leake County,Leake ,"23,805",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
28091,MS,Marion County,Marion ,"27,088",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
28123,MS,Scott County,Scott ,"28,264",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
28131,MS,Stone County,Stone ,"17,786",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
28141,MS,Tishomingo County,Tishomingo ,"19,593",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
29009,MO,Barry County,Barry ,"35,597",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
29011,MO,Barton County,Barton ,"12,402",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
29039,MO,Cedar County,Cedar ,"13,982",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
29053,MO,Cooper County,Cooper ,"17,601",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
29067,MO,Douglas County,Douglas ,"13,684",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
29089,MO,Howard County,Howard ,"10,144",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
29109,MO,Lawrence County,Lawrence ,"38,634",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
29123,MO,Madison County,Madison ,"12,226",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
29131,MO,Miller County,Miller ,"24,748",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
29133,MO,Mississippi County,Mississippi ,"14,358",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
29157,MO,Perry County,Perry ,"18,971",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
29207,MO,Stoddard County,Stoddard ,"29,968",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
29229,MO,Wright County,Wright ,"18,815",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
30003,MT,Big Horn County,Big Horn ,"12,865",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
30047,MT,Lake County,Lake ,"28,746",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
30077,MT,Powell County,Powell ,"7,027",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
30081,MT,Ravalli County,Ravalli ,"40,212",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
31023,NE,Butler County,Butler ,"8,395",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
31131,NE,Otoe County,Otoe ,"15,740",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
31151,NE,Saline County,Saline ,"14,200",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
31179,NE,Wayne County,Wayne ,"9,595",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
31185,NE,York County,York ,"13,665",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
35051,NM,Sierra County,Sierra ,"11,988",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
35053,NM,Socorro County,Socorro ,"17,866",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
36017,NY,Chenango County,Chenango ,"50,477",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
36025,NY,Delaware County,Delaware ,"47,980",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
36031,NY,Essex County,Essex ,"39,370",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
36039,NY,Greene County,Greene ,"49,221",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
36049,NY,Lewis County,Lewis ,"27,087",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
37017,NC,Bladen County,Bladen ,"35,190",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
37047,NC,Columbus County,Columbus ,"58,098",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
37061,NC,Duplin County,Duplin ,"58,505",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
37117,NC,Martin County,Martin ,"24,505",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
37123,NC,Montgomery County,Montgomery ,"27,798",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
38003,ND,Barnes County,Barnes ,"11,066",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
38099,ND,Walsh County,Walsh ,"11,119",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
39065,OH,Hardin County,Hardin ,"32,058",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
39067,OH,Harrison County,Harrison ,"15,864",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
39069,OH,Henry County,Henry ,"28,215",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             ",Town
